Algorithm,Trial #,16 bits time,32 bits time,48 bits time,64 bits time,80 bits time,96 bits time,112 bits time,128 bits time,144 bits time,160 bits time,176 bits time,192 bits time,208 bits time
RSA,1,172173149,155962829,103319718,149562056,200331284,164398080,229712699,189050081,212482222,254890346,295786582,327161623,332857933
RSA,2,152106632,136979319,162817338,169810032,180172163,174437635,141202654,190688525,213317560,235939709,285074248,287454207,353345033
RSA,3,162472725,136518030,142401219,160789214,122820976,144829581,181715883,238519640,201862954,244920492,264397939,297526064,371625615
RSA,4,103641601,127375137,133401962,161141243,152292687,195078426,160505694,208486195,238810332,246160780,303036184,325562505,323864863
RSA,5,133366555,186238513,133279730,160412717,151216169,145591490,200929191,219706197,230924800,245449342,285225442,279249206,362237935
RSA,6,133006962,107903572,162319666,130846613,190773064,183880572,221297181,190441278,231089195,264849090,301782509,307160520,371703773
RSA,7,143393625,117451759,172697928,150390177,190453113,155942146,209813062,170283050,241724780,226848320,294437316,267711775,361593239
RSA,8,113400831,126965703,94168867,120725304,151216819,164378953,190852912,238730017,220831429,284536336,224973674,328053359,363300235
RSA,9,104005220,117113464,142151302,141748468,131265892,154022303,199626360,208515719,259784748,295498814,265119584,308087307,363053671
RSA,10,191463742,146457844,122242892,141257070,180113900,193861142,151453337,209331733,232077515,295876275,265774512,289294831,362901462
RSA,11,113518422,127701520,133539886,169697329,122212001,195243489,190008187,227350903,232155233,236644813,325125500,307273492,382171217
RSA,12,132437692,127269602,113833560,161226985,171561018,184661162,210419818,159985246,221349607,236483445,255087648,278161072,342336764
RSA,13,113112351,137525291,152806929,122113720,132836375,203947562,190228560,229226333,260816355,206194093,324417354,335828559,353811300
RSA,14,112746882,136433480,162739522,140589300,161297050,154786670,180737586,189760382,260522144,255407248,275115101,347908568,332345260
RSA,15,132598845,146460204,133884404,170367498,151421283,192934788,201418122,208623942,211543531,275954377,284697635,315545852,343018096
RSA,16,171849595,185821239,133738380,160750844,141931480,174746927,170148072,200371056,211508741,246698331,275448556,297992857,390388992
RSA,17,113429401,147507338,122784215,150352813,152239919,213382307,210558643,198225808,210534618,275761191,284345809,307891279,352764126
RSA,18,103744707,88332780,141569064,170650274,180890239,183365259,191030063,219980080,222492698,255533530,303974276,326464164,342542901
RSA,19,182201474,166186516,93834859,141405591,111712491,205048856,151663704,246632496,251315441,224134481,304776647,347801338,333161860
RSA,20,142721176,127316093,142079037,160694648,151548265,155434286,171065178,219956890,223478947,224898524,313386186,317442823,363051671
ECC,1,10549935,21493745,34323237,43368541,55033393,67362229,76457156,87868503,96708199,112538841,127677742,138853422,147949349
ECC,2,10774469,21276349,32459438,43814675,57822138,69247203,77565942,91595951,101375724,116040665,124887623,133015201,149572693
ECC,3,11030879,21041485,34316498,44561569,56904269,64763434,77127567,88094277,101827400,112764341,124654008,134433565,150045231
ECC,4,9850231,21952479,31520617,44562313,56432378,66438048,78787581,91122435,102539628,109968158,121633120,139079919,146769706
ECC,5,9137554,20794693,34557829,43142701,54328571,69699204,77388752,87373159,99497708,113477578,128616584,137929519,148873167
ECC,6,10782430,19833261,32205583,43624381,55937497,65257793,76216758,90430373,101827042,113476881,123730317,137470917,148415549
ECC,7,9843747,24077530,35226581,44788687,56411005,67602081,77855159,92527330,100420669,112057989,123954915,134435698,147250698
ECC,8,10316487,20802770,33152332,44307827,55725870,66655554,79019222,88771894,103006729,109263869,126052947,134420947,146987901
ECC,9,10091846,21727143,33603548,45479527,54779291,66423294,78307784,88325215,102307384,113223151,124406502,136997067,143973545
ECC,10,10788274,21740275,35022553,46185628,50565534,65745813,78759224,94376956,100902483,113716833,125353548,135106401,146783425
ECC,11,10083835,21979906,32206569,45481436,55019407,66183590,77607382,90430795,97400387,114183310,120446780,136991365,146537096
ECC,12,10789446,21486033,34316770,41928925,56438975,67383577,82281927,86207839,102745994,112763782,120001882,135600310,142803254
ECC,13,9843906,21493889,32917868,43617493,56438261,71564562,76215588,91581538,100626291,113018888,126752463,133509905,150031876
ECC,14,10788270,22906519,32671079,43623669,53127612,66210977,76443145,89011273,99044972,110450015,122791108,136305181,147941818
ECC,15,9602891,20809500,31718522,45706230,56905173,67835444,75511103,93220376,103005681,114403358,121852432,131144171,145844525
ECC,16,10547676,22913981,32924828,42211729,50783074,65957076,77854734,90429402,102278148,111613125,125580086,136996602,145103572
ECC,17,10308595,21049511,32911636,43842504,55026262,66437267,76922583,91355625,101353526,111153926,124414967,133270668,145152611
ECC,18,10076545,22426557,32904204,45720336,55966342,67368527,77839678,89032237,102067056,113950024,123024215,137004277,144680537
ECC,19,11248670,21741288,34091021,45712089,57815429,66670865,77608149,92520374,102991579,114184400,126272337,138868629,145145380
ECC,20,9631355,21261310,34789711,45726533,56664335,64785463,78780636,92745779,98749305,119062306,118823090,134201451,143977545
